date,type,ticker,rating_osc,rating_ma
2019-10-08,stock,JPM,Buy,Neutral
2019-10-08,stock,JNJ,Buy,Buy
2019-10-08,stock,BABA,Sell,Srong Sell
2019-10-08,stock,FB,Sell,Sell
2019-10-08,stock,AMZN,Sell,Srong Sell
2019-10-08,crypto,LTCUSD,Neutral,Srong Sell
2019-10-08,crypto,IOTAUSD,Neutral,Buy
2019-10-08,crypto,ETHUSD,Sell,Srong Sell
2019-10-08,crypto,DASHUSD,Neutral,Srong Sell
2019-10-08,crypto,XRPUSD,Buy,Buy
2019-10-08,crypto,EOSUSD,Neutral,Sell
2019-10-08,crypto,BNBUSD,Neutral,Srong Sell
2019-10-08,crypto,BTCUSD,Sell,Srong Sell
2019-10-09,crypto,XRPUSD,Buy,Buy
2019-10-09,crypto,BTCUSD,Buy,Srong Sell
2019-10-09,crypto,EOSUSD,Buy,Sell
2019-10-09,crypto,IOTAUSD,Buy,Neutral
2019-10-09,crypto,ETHUSD,Neutral,Srong Sell
2019-10-09,crypto,DASHUSD,Buy,Srong Sell
2019-10-09,crypto,BNBUSD,Buy,Srong Sell
2019-10-09,crypto,LTCUSD,Buy,Srong Sell
2019-10-09,stock,FB,Sell,Srong Sell
2019-10-09,stock,JNJ,Buy,Buy
2019-10-09,stock,JPM,Sell,Srong Sell
2019-10-09,stock,MSFT,Sell,Sell
2019-10-09,stock,AMZN,Sell,Srong Sell
2019-10-09,stock,AAPL,Buy,Srong Buy
2019-10-09,stock,BABA,Sell,Srong Sell
2019-10-09,stock,GOOG,Sell,Sell
2019-10-09,index,NI225,Buy,Buy
2019-10-09,index,TSX,Sell,Srong Sell
2019-10-09,index,NIFTY,Neutral,Srong Sell
2019-10-09,index,IXIC,Sell,Srong Sell
2019-10-09,index,VIX,Buy,Srong Buy
2019-10-09,index,SPX,Sell,Srong Sell
2019-10-09,index,DJI,Sell,Srong Sell
2019-10-09,index,DAX,Sell,Srong Sell
2019-10-10,index,TSX,Sell,Srong Sell
2019-10-10,index,SPX,Sell,Sell
2019-10-10,index,VIX,Buy,Srong Buy
2019-10-10,index,IXIC,Neutral,Sell
2019-10-10,index,DJI,Sell,Sell
2019-10-10,index,NIFTY,Neutral,Srong Buy
2019-10-10,index,DAX,Sell,Sell
2019-10-10,index,NI225,Sell,Buy
2019-10-10,stock,FB,Sell,Sell
2019-10-10,stock,GOOG,Buy,Neutral
2019-10-10,stock,MSFT,Sell,Srong Buy
2019-10-10,stock,AMZN,Neutral,Srong Sell
2019-10-10,stock,BABA,Buy,Srong Sell
2019-10-10,stock,AAPL,Buy,Srong Buy
2019-10-10,stock,JPM,Sell,Sell
2019-10-10,stock,JNJ,Buy,Srong Sell
2019-10-10,crypto,ETHUSD,Buy,Buy
2019-10-10,crypto,IOTAUSD,Buy,Buy
2019-10-10,crypto,XRPUSD,Buy,Buy
2019-10-10,crypto,BTCUSD,Neutral,Sell
2019-10-10,crypto,EOSUSD,Neutral,Sell
2019-10-10,crypto,DASHUSD,Neutral,Sell
2019-10-10,crypto,BNBUSD,Neutral,Sell
2019-10-10,crypto,LTCUSD,Neutral,Sell
2019-10-11,crypto,BNBUSD,Buy,Sell
2019-10-11,crypto,ETHUSD,Buy,Buy
2019-10-11,crypto,DASHUSD,Buy,Srong Sell
2019-10-11,crypto,XRPUSD,Buy,Buy
2019-10-11,crypto,LTCUSD,Buy,Srong Sell
2019-10-11,crypto,EOSUSD,Buy,Sell
2019-10-11,crypto,BTCUSD,Neutral,Sell
2019-10-11,crypto,IOTAUSD,Buy,Buy
2019-10-11,index,VIX,Buy,Buy
2019-10-11,index,DJI,Sell,Buy
2019-10-11,index,IXIC,Sell,Sell
2019-10-11,index,NIFTY,Buy,Buy
2019-10-11,index,SPX,Sell,Buy
2019-10-11,index,NI225,Sell,Buy
2019-10-11,index,DAX,Sell,Buy
2019-10-11,index,TSX,Sell,Sell
2019-10-11,stock,AMZN,Sell,Srong Sell
2019-10-11,stock,GOOG,Sell,Buy
2019-10-11,stock,AAPL,Buy,Srong Buy
2019-10-11,stock,JPM,Sell,Neutral
2019-10-11,stock,MSFT,Sell,Srong Buy
2019-10-11,stock,JNJ,Sell,Srong Sell
2019-10-11,stock,FB,Neutral,Sell
2019-10-11,stock,BABA,Sell,Srong Sell
2019-10-12,crypto,ETHUSD,Buy,Srong Sell
2019-10-12,crypto,IOTAUSD,Neutral,Sell
2019-10-12,crypto,DASHUSD,Buy,Srong Sell
2019-10-12,crypto,BNBUSD,Buy,Sell
2019-10-12,crypto,EOSUSD,Buy,Srong Sell
2019-10-12,crypto,XRPUSD,Neutral,Buy
2019-10-12,crypto,BTCUSD,Buy,Srong Sell
2019-10-12,crypto,LTCUSD,Buy,Srong Sell
2019-10-13,crypto,ETHUSD,Buy,Srong Sell
2019-10-13,crypto,BNBUSD,Sell,Sell
2019-10-13,crypto,EOSUSD,Buy,Srong Sell
2019-10-13,crypto,XRPUSD,Buy,Buy
2019-10-13,crypto,DASHUSD,Sell,Srong Sell
2019-10-13,crypto,BTCUSD,Sell,Srong Sell
2019-10-13,crypto,IOTAUSD,Sell,Srong Sell
2019-10-13,crypto,LTCUSD,Buy,Srong Sell
2019-10-14,crypto,LTCUSD,Neutral,Srong Sell
2019-10-14,crypto,DASHUSD,Sell,Srong Sell
2019-10-14,crypto,EOSUSD,Neutral,Srong Sell
2019-10-14,crypto,ETHUSD,Neutral,Srong Sell
2019-10-14,crypto,XRPUSD,Neutral,Buy
2019-10-14,crypto,BNBUSD,Buy,Buy
2019-10-14,crypto,BTCUSD,Neutral,Srong Sell
2019-10-14,crypto,IOTAUSD,Sell,Buy
2019-10-14,stock,JPM,Sell,Srong Buy
2019-10-14,stock,BABA,Sell,Srong Buy
2019-10-14,stock,AAPL,Neutral,Srong Buy
2019-10-14,stock,JNJ,Sell,Buy
2019-10-14,stock,MSFT,Buy,Srong Buy
2019-10-14,stock,AMZN,Sell,Srong Sell
2019-10-14,stock,FB,Neutral,Srong Buy
2019-10-14,stock,GOOG,Sell,Srong Buy
2019-10-14,index,DAX,Sell,Srong Buy
2019-10-14,index,IXIC,Sell,Srong Buy
2019-10-14,index,DJI,Sell,Srong Buy
2019-10-14,index,SPX,Sell,Srong Buy
2019-10-14,index,VIX,Buy,Srong Sell
2019-10-14,index,NI225,Sell,Srong Buy
2019-10-14,index,TSX,Sell,Sell
2019-10-14,index,NIFTY,Sell,Srong Buy
2019-10-15,stock,JNJ,Sell,Sell
2019-10-15,stock,GOOG,Sell,Srong Buy
2019-10-15,stock,JPM,Sell,Srong Buy
2019-10-15,stock,BABA,Neutral,Srong Buy
2019-10-15,stock,MSFT,Buy,Srong Buy
2019-10-15,stock,AAPL,Buy,Srong Buy
2019-10-15,stock,FB,Buy,Buy
2019-10-15,stock,AMZN,Neutral,Srong Sell
2019-10-15,crypto,ETHUSD,Sell,Buy
2019-10-15,crypto,IOTAUSD,Buy,Srong Buy
2019-10-15,crypto,BTCUSD,Sell,Sell
2019-10-15,crypto,BNBUSD,Sell,Buy
2019-10-15,crypto,LTCUSD,Sell,Srong Sell
2019-10-15,crypto,DASHUSD,Buy,Srong Sell
2019-10-15,crypto,XRPUSD,Buy,Srong Buy
2019-10-15,crypto,EOSUSD,Buy,Sell
2019-10-15,index,DJI,Sell,Srong Buy
2019-10-15,index,IXIC,Buy,Srong Buy
2019-10-15,index,NIFTY,Buy,Srong Buy
2019-10-15,index,SPX,Neutral,Srong Buy
2019-10-15,index,VIX,Neutral,Srong Sell
2019-10-15,index,NI225,Sell,Srong Buy
2019-10-15,index,TSX,Sell,Sell
2019-10-15,index,DAX,Buy,Srong Buy
2019-10-16,index,TSX,Sell,Sell
2019-10-16,index,DAX,Neutral,Srong Buy
2019-10-16,index,SPX,Neutral,Srong Buy
2019-10-16,index,DJI,Neutral,Srong Buy
2019-10-16,index,NI225,Neutral,Srong Buy
2019-10-16,index,VIX,Sell,Srong Sell
2019-10-16,index,NIFTY,Sell,Srong Buy
2019-10-16,index,IXIC,Neutral,Srong Buy
2019-10-16,stock,GOOG,Buy,Srong Buy
2019-10-16,stock,FB,Neutral,Srong Buy
2019-10-16,stock,BABA,Neutral,Srong Buy
2019-10-16,stock,MSFT,Buy,Srong Buy
2019-10-16,stock,JNJ,Buy,Srong Buy
2019-10-16,stock,AAPL,Sell,Srong Buy
2019-10-16,stock,JPM,Buy,Srong Buy
2019-10-16,stock,AMZN,Neutral,Neutral
2019-10-16,crypto,BTCUSD,Buy,Srong Sell
2019-10-16,crypto,XRPUSD,Buy,Buy
2019-10-16,crypto,EOSUSD,Neutral,Srong Sell
2019-10-16,crypto,IOTAUSD,Buy,Buy
2019-10-16,crypto,ETHUSD,Buy,Srong Sell
2019-10-16,crypto,BNBUSD,Buy,Neutral
2019-10-16,crypto,LTCUSD,Buy,Srong Sell
2019-10-16,crypto,DASHUSD,Buy,Sell
2019-10-17,crypto,EOSUSD,Sell,Srong Sell
2019-10-17,crypto,DASHUSD,Neutral,Srong Sell
2019-10-17,crypto,LTCUSD,Sell,Srong Sell
2019-10-17,crypto,BTCUSD,Sell,Srong Sell
2019-10-17,crypto,ETHUSD,Sell,Srong Sell
2019-10-17,crypto,IOTAUSD,Sell,Srong Sell
2019-10-17,crypto,XRPUSD,Buy,Buy
2019-10-17,crypto,BNBUSD,Buy,Sell
2019-10-17,stock,FB,Buy,Srong Buy
2019-10-17,stock,GOOG,Sell,Srong Buy
2019-10-17,stock,JNJ,Buy,Srong Buy
2019-10-17,stock,MSFT,Sell,Srong Buy
2019-10-17,stock,JPM,Sell,Srong Buy
2019-10-17,stock,AMZN,Neutral,Buy
2019-10-17,stock,BABA,Neutral,Srong Buy
2019-10-17,stock,AAPL,Sell,Srong Buy
2019-10-17,index,IXIC,Neutral,Srong Buy
2019-10-17,index,VIX,Buy,Srong Sell
2019-10-17,index,TSX,Sell,Sell
2019-10-17,index,SPX,Neutral,Srong Buy
2019-10-17,index,DAX,Neutral,Srong Buy
2019-10-17,index,DJI,Neutral,Srong Buy
2019-10-17,index,NIFTY,Buy,Srong Buy
2019-10-17,index,NI225,Neutral,Srong Buy
2019-10-18,crypto,BTCUSD,Buy,Srong Sell
2019-10-18,crypto,EOSUSD,Buy,Srong Sell
2019-10-18,crypto,BNBUSD,Buy,Neutral
2019-10-18,crypto,DASHUSD,Buy,Srong Sell
2019-10-18,crypto,XRPUSD,Buy,Srong Buy
2019-10-18,crypto,ETHUSD,Sell,Srong Sell
2019-10-18,crypto,IOTAUSD,Buy,Buy
2019-10-18,crypto,LTCUSD,Buy,Srong Sell
2019-10-18,index,DJI,Buy,Srong Buy
2019-10-18,index,TSX,Sell,Sell
2019-10-18,index,SPX,Buy,Srong Buy
2019-10-18,index,VIX,Sell,Srong Sell
2019-10-18,index,NIFTY,Buy,Srong Buy
2019-10-18,index,DAX,Sell,Srong Buy
2019-10-18,index,IXIC,Buy,Srong Buy
2019-10-18,index,NI225,Sell,Srong Buy
2019-10-18,stock,JPM,Buy,Srong Buy
2019-10-18,stock,JNJ,Neutral,Srong Buy
2019-10-18,stock,BABA,Buy,Srong Buy
2019-10-18,stock,FB,Buy,Srong Buy
2019-10-18,stock,AMZN,Buy,Srong Buy
2019-10-18,stock,GOOG,Buy,Srong Buy
2019-10-18,stock,AAPL,Buy,Srong Buy
2019-10-18,stock,MSFT,Buy,Srong Buy
2019-10-19,crypto,EOSUSD,Buy,Srong Sell
2019-10-19,crypto,XRPUSD,Buy,Srong Buy
2019-10-19,crypto,IOTAUSD,Sell,Srong Sell
2019-10-19,crypto,DASHUSD,Buy,Srong Sell
2019-10-19,crypto,LTCUSD,Buy,Srong Sell
2019-10-19,crypto,BTCUSD,Buy,Srong Sell
2019-10-19,crypto,BNBUSD,Buy,Neutral
2019-10-19,crypto,ETHUSD,Sell,Srong Sell
2019-10-20,crypto,EOSUSD,Buy,Srong Sell
2019-10-20,crypto,XRPUSD,Buy,Srong Buy
2019-10-20,crypto,BTCUSD,Buy,Srong Sell
2019-10-20,crypto,LTCUSD,Buy,Srong Sell
2019-10-20,crypto,BNBUSD,Buy,Neutral
2019-10-20,crypto,DASHUSD,Buy,Srong Sell
2019-10-20,crypto,ETHUSD,Sell,Srong Sell
2019-10-20,crypto,IOTAUSD,Sell,Srong Sell
2019-10-21,index,TSX,Neutral,Srong Sell
2019-10-21,index,DJI,Neutral,Buy
2019-10-21,index,NI225,Neutral,Srong Buy
2019-10-21,index,SPX,Neutral,Srong Buy
2019-10-21,index,NIFTY,Buy,Srong Buy
2019-10-21,index,IXIC,Buy,Srong Buy
2019-10-21,index,VIX,Sell,Srong Sell
2019-10-21,index,DAX,Neutral,Srong Buy
2019-10-21,stock,AAPL,Buy,Srong Buy
2019-10-21,stock,AMZN,Sell,Sell
2019-10-21,stock,MSFT,Buy,Sell
2019-10-21,stock,FB,Buy,Srong Buy
2019-10-21,stock,GOOG,Buy,Srong Buy
2019-10-21,stock,BABA,Buy,Srong Sell
2019-10-21,stock,JNJ,Buy,Srong Sell
2019-10-21,stock,JPM,Buy,Srong Buy
2019-10-21,crypto,BTCUSD,Neutral,Srong Sell
2019-10-21,crypto,IOTAUSD,Sell,Srong Sell
2019-10-21,crypto,LTCUSD,Neutral,Srong Sell
2019-10-21,crypto,ETHUSD,Sell,Srong Sell
