entry_date,symbol,symbol_name,signal_perc,url
2019-04-24,CREE,Cree Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1790419/barchartcoms-chart-of-the-day-cree-inc
2019-04-23,FSS,Federal Signal Corp,100,https://www.barchart.com/story/news/chart-of-the-day/1765003/barchartcoms-chart-of-the-day-federal-signal
2019-04-22,PEGA,Pegasystems Inc,100,https://www.barchart.com/story/news/chart-of-the-day/1750701/barchartcoms-chart-of-the-day-pegasystems
2019-04-18,WRB,W.R. Berkley Corp,96,https://www.barchart.com/story/news/chart-of-the-day/1703078/barchartcoms-chart-of-the-day-w-r-berkley
2019-04-17,KMX,Carmax Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1678577/barchartcoms-chart-of-the-day-carmax
2019-04-16,GLDD,Great Lakes Drg Dock,88,https://www.barchart.com/story/news/chart-of-the-day/1656547/barchartcoms-chart-of-the-day-great-lakes-dredge-and-dock
2019-04-16,AWI,Armstrong World Industries Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1651504/barchartcoms-chart-of-the-day-armstrong-world-industries
2019-04-12,FDS,Factset Research Systems Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1596188/barchartcoms-chart-of-the-day-factset-research-systems
2019-04-11,MKC,Mccormick & Company Inc,80,https://www.barchart.com/story/news/chart-of-the-day/1581126/barchartcoms-chart-of-the-day-mccormick-co
2019-04-10,RIO,Rio Tinto Plc,96,https://www.barchart.com/story/news/chart-of-the-day/1554784/barchartcoms-chart-of-the-day-rio-tinto-group
2019-04-09,MSCI,MSCI Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1531638/barchartcoms-chart-of-the-day-msci-inc
2019-04-08,LII,Lennox International,96,https://www.barchart.com/story/news/chart-of-the-day/1517402/barchartcoms-chart-of-the-day-lennox-international
2019-04-05,MLND,Millendo Therapeutics Inc,96,https://www.barchart.com/story/news/chart-of-the-day/1473419/barchartcoms-chart-of-the-day-millendo-therapeutics
2019-04-04,MYT,Urban Tea Inc,72,https://www.barchart.com/story/news/chart-of-the-day/1453767/barchartcoms-chart-of-the-day-urban-tea
2019-04-03,SHSP,Sharpspring Inc,100,https://www.barchart.com/story/news/chart-of-the-day/1429845/barchartcoms-chart-of-the-day-sharpspring
2019-04-02,ORLY,O'Reilly Automotive,96,https://www.barchart.com/story/news/chart-of-the-day/1402099/barchartcoms-chart-of-the-day-oreilly-automotive
2019-04-01,DYAI,Dyadic International,100,https://www.barchart.com/story/news/chart-of-the-day/1389716/barchartcoms-chart-of-the-day-dyadic-international
2019-03-29,CMG,Chipotle Mexican Grill,96,https://www.barchart.com/story/news/chart-of-the-day/1346159/barchartcoms-chart-of-the-day-chipolte-mexican-grill
2019-03-28,TRI,Thomson Reuters Corp,100,https://www.barchart.com/story/news/chart-of-the-day/1322211/barchartcoms-chart-of-the-day-thomas-reuters
2019-03-27,INFU,Infusystems Holdings,100,https://www.barchart.com/story/news/chart-of-the-day/1295028/barchartcoms-chart-of-the-day-infusystems
2019-03-25,AEE,Ameren Corp,100,https://www.barchart.com/story/news/chart-of-the-day/1260214/barchartcoms-chart-of-the-day-ameren-corp
2019-03-11,CDNS,Cadence Design Sys,88,https://www.barchart.com/story/news/chart-of-the-day/994159/barchartcoms-chart-of-the-day-cadnece-design-systems
2019-03-08,LIND,Lindblad Expd Hld,88,https://www.barchart.com/story/news/chart-of-the-day/963582/barchartcoms-chart-of-the-day-lindblad-expeditions
2019-03-07,BABA,Alibaba Group Holding,80,https://www.barchart.com/story/news/chart-of-the-day/930355/barchartcoms-chart-of-the-day-alibaba
2019-03-06,EEFT,Euronet Worldwide,96,https://www.barchart.com/story/news/chart-of-the-day/908948/barchartcoms-chart-of-the-day-euronet-worldwide
2019-03-05,OSIR,Osiris Therapeutics,96,https://www.barchart.com/story/news/chart-of-the-day/883448/barchartcoms-chart-of-the-day-osiris-therapeutics
2019-03-04,VISI,Volt Information Services Inc,96,https://www.barchart.com/story/news/chart-of-the-day/867528/barchartcoms-chart-of-the-day-volt-information-sciences
2019-03-01,CYBR,Cyberark Soft Ord,96,https://www.barchart.com/story/news/chart-of-the-day/829158/barchartcoms-chart-of-the-day-cyberark-software
2019-02-28,NSTG,Nanostring Tech,100,https://www.barchart.com/story/news/chart-of-the-day/805701/barchartcoms-chart-of-the-day-nanostring-technologies
2019-02-27,NEO,Neogenomics Inc,88,https://www.barchart.com/story/news/chart-of-the-day/774737/barchartcoms-chart-of-the-day-neogenomics
2019-02-26,UBNT,Ubiquiti Networks,96,https://www.barchart.com/story/news/chart-of-the-day/751959/barchartcoms-chart-of-the-day-ubiquiti-networks
2019-02-25,VCYT,Veracyte Inc,100,https://www.barchart.com/story/news/chart-of-the-day/734130/barchartcoms-chart-of-the-day-veracyte
2019-02-22,BHR,Braemar Hotels & Resorts Inc,88,https://www.barchart.com/story/news/chart-of-the-day/694473/barchartcoms-chart-of-the-day-braemar-hotels-resorts
2019-02-21,WK,Workiva Llc,100,https://www.barchart.com/story/news/chart-of-the-day/671449/barchartcoms-chart-of-the-day-workiva
2019-02-20,TWLO,Twilio,96,https://www.barchart.com/story/news/chart-of-the-day/644508/barchartcoms-chart-of-the-day-twilio
2019-02-19,SCX,L.S. Starrett Company,100,https://www.barchart.com/story/news/chart-of-the-day/626428/barchartcoms-chart-of-the-day-l-s-starrett
2019-02-15,IVV,S&P 500 Ishares Core ETF,80,https://www.barchart.com/story/news/chart-of-the-day/583849/barchartcoms-chart-of-the-day-sp-500-etf
2019-02-14,ALEX,Alexander and Baldwin Inc,100,https://www.barchart.com/story/news/chart-of-the-day/560548/barchartcoms-chart-of-the-day-alexander-baldwin
2019-02-13,APPS,Digital Turbine,100,https://www.barchart.com/story/news/chart-of-the-day/535799/barchartcoms-chart-of-the-day-digital-turbine
2019-02-12,GHDX,Genomic Health Inc,100,https://www.barchart.com/story/news/chart-of-the-day/512282/barchartcoms-chart-of-the-day-genomic-health
2019-02-11,CRMD,Cormedix Inc,100,https://www.barchart.com/story/news/chart-of-the-day/494283/barchartcoms-chart-of-the-day-cormedix
2019-02-08,RUN,Sunrun Inc,100,https://www.barchart.com/story/news/chart-of-the-day/466064/barchartcoms-chart-of-the-day-sunrun
2019-02-07,IEC,IEC Electronics,100,https://www.barchart.com/story/news/chart-of-the-day/445501/barchartcoms-chart-of-the-day-iec-electronics
2019-02-06,KL,Kirkland Lake Gold Ltd,96,https://www.barchart.com/story/news/chart-of-the-day/424665/barchartcoms-chart-of-the-day-kirkland-lake-gold
2019-02-05,WCN,Waste Connections Inc,96,https://www.barchart.com/story/news/chart-of-the-day/407907/barchartcoms-chart-of-the-day-waste-connections
2019-02-04,AES,The Aes Corp,100,https://www.barchart.com/story/news/chart-of-the-day/393558/barchartcoms-chart-of-the-day-aes-corp
2019-02-01,ADC,Agree Realty Corp,96,https://www.barchart.com/story/news/chart-of-the-day/366908/barchartcoms-chart-of-the-day-agree-realty
